"method","algorithm","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"unscaled","no_thinning",10000,83.3333333333333,50,30,"normalized_l1",1.62185785375989,0.26213042023476,0.0478582480569623
"unscaled","no_thinning",30000,250,50,30,"normalized_l1",1.60580972287031,0.178655825317938,0.0326179418521123
"unscaled","no_thinning",100000,833.333333333333,50,30,"normalized_l1",1.64141897703963,0.155822575147777,0.0284491797923271
"unscaled","no_thinning",300000,2500,50,30,"normalized_l1",1.648494683021,0.148804341090323,0.0271678314232876
"unscaled","no_thinning",1000000,8333.33333333333,50,30,"normalized_l1",1.66831469280583,0.179224519444904,0.0327217707193323
"unscaled","thinning",10000,83.3333333333333,50,30,"normalized_l1",2.94302093848882,0.441946142673284,0.0806879571815181
"unscaled","thinning",30000,250,50,30,"normalized_l1",2.89968955843976,0.246932884797862,0.0450835703978712
"unscaled","thinning",100000,833.333333333333,50,30,"normalized_l1",2.972917431677,0.221487292932952,0.0404378621800442
"unscaled","thinning",300000,2500,50,30,"normalized_l1",2.94881170846103,0.294921630387509,0.0538450765531465
"unscaled","thinning",1000000,8333.33333333333,50,30,"normalized_l1",2.97523690857337,0.233335904535936,0.0426011127967348
